anio,mes,lugar,pm25_mgm
2014,Marzo,San Juan de Lurigancho,NA
2014,Marzo,San Martin de Porres,NA
2014,Marzo,Carabayllo,NA
2014,Marzo,Puente Piedra,NA
2014,Mayo,Ate,90.3
2014,Mayo,San Borja,34.6
2014,Mayo,Jesus Maria (Campo de Marte),40.3
2014,Mayo,Santa Anita,55.8
2014,Mayo,Villa Maria del Triunfo,57.4
2014,Mayo,Huachipa,113.6
2014,Mayo,San Juan de Lurigancho,101.9
2014,Mayo,San Martin de Porres,72.5
2014,Mayo,Carabayllo,104.9
2014,Mayo,Puente Piedra,147
2014,Noviembre,Ate,98.5
2014,Noviembre,San Borja,NA
2014,Noviembre,Jesus Maria (Campo de Marte),40.1
2014,Noviembre,Santa Anita,NA
2014,Noviembre,Villa Maria del Triunfo,NA
2014,Noviembre,Huachipa,117
2014,Noviembre,San Juan de Lurigancho,78
2014,Noviembre,San Martin de Porres,48.1
2014,Noviembre,Carabayllo,84.8
2014,Noviembre,Puente Piedra,108.3
2014,Octubre,Ate,107.8
2014,Octubre,San Borja,56
2014,Octubre,Jesus Maria (Campo de Marte),39.9
2014,Octubre,Santa Anita,NA
2014,Octubre,Villa Maria del Triunfo,NA
2014,Octubre,Huachipa,114.6
2014,Octubre,San Juan de Lurigancho,89.3
2014,Octubre,San Martin de Porres,48.6
2014,Octubre,Carabayllo,95.4
2014,Octubre,Puente Piedra,116.7
2014,Setiembre,Ate,107.4
2014,Setiembre,San Borja,58.2
2014,Setiembre,Jesus Maria (Campo de Marte),48.8
2014,Setiembre,Santa Anita,NA
2014,Setiembre,Villa Maria del Triunfo,NA
2014,Setiembre,Huachipa,95.1
2014,Setiembre,San Juan de Lurigancho,89.4
2014,Setiembre,San Martin de Porres,49.7
2014,Setiembre,Carabayllo,69.1
2014,Setiembre,Puente Piedra,NA
2015,Abril,Ate,95.4
2015,Abril,San Borja,NA
2015,Abril,Jesus Maria (Campo de Marte),45
2015,Abril,Santa Anita,83.5
2015,Abril,Villa Maria del Triunfo,203.5
2015,Abril,Huachipa,108
2015,Abril,San Juan de Lurigancho,115.3
2015,Abril,San Martin de Porres,51.2
2015,Abril,Carabayllo,NA
2015,Abril,Puente Piedra,133.5
2015,Agosto,Ate,96.4
2015,Agosto,San Borja,48.5
2015,Agosto,Jesus Maria (Campo de Marte),37.4
2015,Agosto,Santa Anita,68.7
2015,Agosto,Villa Maria del Triunfo,NA
2015,Agosto,Huachipa,79.4
2015,Agosto,San Juan de Lurigancho,69.3
2015,Agosto,San Martin de Porres,46.1
2015,Agosto,Carabayllo,72
2015,Agosto,Puente Piedra,84.9
2015,Diciembre,Ate,NA
2015,Diciembre,San Borja,NA
2015,Diciembre,Jesus Maria (Campo de Marte),36.5
2015,Diciembre,Santa Anita,72
2015,Diciembre,Villa Maria del Triunfo,106.4
2015,Diciembre,Huachipa,81.8
2015,Diciembre,San Juan de Lurigancho,78.3
2015,Diciembre,San Martin de Porres,38.8
2015,Diciembre,Carabayllo,76.3
2015,Diciembre,Puente Piedra,131.2
2015,Enero,Ate,111
2015,Enero,San Borja,NA
2015,Enero,Jesus Maria (Campo de Marte),35.1
2015,Enero,Santa Anita,70
2015,Enero,Villa Maria del Triunfo,108.6
2015,Enero,Huachipa,92.5
2015,Enero,San Juan de Lurigancho,67.2
2015,Enero,San Martin de Porres,38.2
2015,Enero,Carabayllo,73.4
2015,Enero,Puente Piedra,120.1
2015,Febrero,Ate,124.2
2015,Febrero,San Borja,NA
2015,Febrero,Jesus Maria (Campo de Marte),41.6
2015,Febrero,Santa Anita,81.9
2015,Febrero,Villa Maria del Triunfo,126.6
2015,Febrero,Huachipa,102.4
2015,Febrero,San Juan de Lurigancho,92.2
2015,Febrero,San Martin de Porres,46.7
2015,Febrero,Carabayllo,86
2015,Febrero,Puente Piedra,137.8
2015,Julio,Ate,65.8
2015,Julio,San Borja,NA
2015,Julio,Jesus Maria (Campo de Marte),47.3
2015,Julio,Santa Anita,48
2015,Julio,Villa Maria del Triunfo,NA
2015,Julio,Huachipa,78.9
2015,Julio,San Juan de Lurigancho,66
2015,Julio,San Martin de Porres,43.8
2015,Julio,Carabayllo,73.1
2015,Julio,Puente Piedra,103.6
2015,Junio,Ate,77.2
2015,Junio,San Borja,NA
2015,Junio,Jesus Maria (Campo de Marte),84.3
2015,Junio,Santa Anita,108.1
2015,Junio,Villa Maria del Triunfo,NA
2015,Junio,Huachipa,181.4
2015,Junio,San Juan de Lurigancho,147.7
2015,Junio,San Martin de Porres,96.1
2015,Junio,Carabayllo,89.1
2015,Junio,Puente Piedra,286.1
2015,Marzo,Ate,78.5
2015,Marzo,San Borja,NA
2015,Marzo,Jesus Maria (Campo de Marte),52.4
2015,Marzo,Santa Anita,109.8
2015,Marzo,Villa Maria del Triunfo,240.3
2015,Marzo,Huachipa,131.5
2015,Marzo,San Juan de Lurigancho,122.6
2015,Marzo,San Martin de Porres,64.9
2015,Marzo,Carabayllo,99.6
2015,Marzo,Puente Piedra,158.5
2015,Mayo,Ate,82.7
2015,Mayo,San Borja,NA
2015,Mayo,Jesus Maria (Campo de Marte),50.2
2015,Mayo,Santa Anita,62.3
2015,Mayo,Villa Maria del Triunfo,173
2015,Mayo,Huachipa,102.9
2015,Mayo,San Juan de Lurigancho,101.5
2015,Mayo,San Martin de Porres,50.8
2015,Mayo,Carabayllo,87.6
2015,Mayo,Puente Piedra,127.8
2015,Noviembre,Ate,102.3
2015,Noviembre,San Borja,46
2015,Noviembre,Jesus Maria (Campo de Marte),33.8
2015,Noviembre,Santa Anita,73.9
2015,Noviembre,Villa Maria del Triunfo,86.7
2015,Noviembre,Huachipa,82.5
2015,Noviembre,San Juan de Lurigancho,79.2
2015,Noviembre,San Martin de Porres,38.8
2015,Noviembre,Carabayllo,76.7
2015,Noviembre,Puente Piedra,111.9
2015,Octubre,Ate,97.3
2015,Octubre,San Borja,44.4
2015,Octubre,Jesus Maria (Campo de Marte),31.4
2015,Octubre,Santa Anita,NA
2015,Octubre,Villa Maria del Triunfo,NA
2015,Octubre,Huachipa,83
2015,Octubre,San Juan de Lurigancho,41.5
2015,Octubre,San Martin de Porres,79.6
2015,Octubre,Carabayllo,79.2
2015,Octubre,Puente Piedra,110.7
2015,Setiembre,Ate,101.6
2015,Setiembre,San Borja,47.5
2015,Setiembre,Jesus Maria (Campo de Marte),NA
2015,Setiembre,Santa Anita,72.9
2015,Setiembre,Villa Maria del Triunfo,NA
2015,Setiembre,Huachipa,73.4
2015,Setiembre,San Juan de Lurigancho,65.2
2015,Setiembre,San Martin de Porres,42.4
2015,Setiembre,Carabayllo,69.9
2015,Setiembre,Puente Piedra,80.2
2016,Abril,Ate,120.6
2016,Abril,San Borja,56.2
2016,Abril,Jesus Maria (Campo de Marte),38.9
2016,Abril,Santa Anita,91.2
2016,Abril,Villa Maria del Triunfo,NA
2016,Abril,Huachipa,113.4
2016,Abril,San Juan de Lurigancho,108.5
2016,Abril,San Martin de Porres,53.1
2016,Abril,Carabayllo,100.2
2016,Abril,Puente Piedra,152.2
2016,Agosto,Ate,99
2016,Agosto,San Borja,56.8
2016,Agosto,Jesus Maria (Campo de Marte),29.9
2016,Agosto,Santa Anita,74.8
2016,Agosto,Villa Maria del Triunfo,57.2
2016,Agosto,Huachipa,NA
2016,Agosto,San Juan de Lurigancho,NA
2016,Agosto,San Martin de Porres,44.9
2016,Agosto,Carabayllo,NA
2016,Agosto,Puente Piedra,96.5
2016,Diciembre,Ate,120.7
2016,Diciembre,San Borja,62.9
2016,Diciembre,Jesus Maria (Campo de Marte),35.4
2016,Diciembre,Santa Anita,76.3
2016,Diciembre,Villa Maria del Triunfo,119.6
2016,Diciembre,Huachipa,NA
2016,Diciembre,San Juan de Lurigancho,93
2016,Diciembre,San Martin de Porres,34.3
2016,Diciembre,Carabayllo,84.4
2016,Diciembre,Puente Piedra,131.5
2016,Enero,Ate,NA
2016,Enero,San Borja,44.1
2016,Enero,Jesus Maria (Campo de Marte),31.7
2016,Enero,Santa Anita,66.2
2016,Enero,Villa Maria del Triunfo,141.7
2016,Enero,Huachipa,81.6
2016,Enero,San Juan de Lurigancho,70.8
2016,Enero,San Martin de Porres,36.2
2016,Enero,Carabayllo,75.4
2016,Enero,Puente Piedra,111
2016,Febrero,Ate,98.8
2016,Febrero,San Borja,48.8
2016,Febrero,Jesus Maria (Campo de Marte),38.2
2016,Febrero,Santa Anita,70.1
2016,Febrero,Villa Maria del Triunfo,169.8
2016,Febrero,Huachipa,80.4
2016,Febrero,San Juan de Lurigancho,73.4
2016,Febrero,San Martin de Porres,39.5
2016,Febrero,Carabayllo,82
2016,Febrero,Puente Piedra,125.1
2016,Julio,Ate,105.6
2016,Julio,San Borja,48.2
2016,Julio,Jesus Maria (Campo de Marte),32
2016,Julio,Santa Anita,77
2016,Julio,Villa Maria del Triunfo,66.2
2016,Julio,Huachipa,85.3
2016,Julio,San Juan de Lurigancho,87.2
2016,Julio,San Martin de Porres,45.5
2016,Julio,Carabayllo,80
2016,Julio,Puente Piedra,102.1
2016,Junio,Ate,120.2
2016,Junio,San Borja,65.2
2016,Junio,Jesus Maria (Campo de Marte),44.7
2016,Junio,Santa Anita,88.7
2016,Junio,Villa Maria del Triunfo,105.2
2016,Junio,Huachipa,NA
2016,Junio,San Juan de Lurigancho,134.7
2016,Junio,San Martin de Porres,NA
2016,Junio,Carabayllo,NA
2016,Junio,Puente Piedra,NA
2016,Marzo,Ate,103.7
2016,Marzo,San Borja,53.9
2016,Marzo,Jesus Maria (Campo de Marte),35.6
2016,Marzo,Santa Anita,87.2
2016,Marzo,Villa Maria del Triunfo,198.4
2016,Marzo,Huachipa,97.8
2016,Marzo,San Juan de Lurigancho,87.9
2016,Marzo,San Martin de Porres,43
2016,Marzo,Carabayllo,97
2016,Marzo,Puente Piedra,163.9
2016,Mayo,Ate,127.2
2016,Mayo,San Borja,63.5
2016,Mayo,Jesus Maria (Campo de Marte),44.7
2016,Mayo,Santa Anita,98.2
2016,Mayo,Villa Maria del Triunfo,173
2016,Mayo,Huachipa,122.6
2016,Mayo,San Juan de Lurigancho,116.2
2016,Mayo,San Martin de Porres,50
2016,Mayo,Carabayllo,104.6
2016,Mayo,Puente Piedra,134.1
2016,Noviembre,Ate,122.6
2016,Noviembre,San Borja,NA
2016,Noviembre,Jesus Maria (Campo de Marte),39
2016,Noviembre,Santa Anita,82.1
2016,Noviembre,Villa Maria del Triunfo,99.4
2016,Noviembre,Huachipa,NA
2016,Noviembre,San Juan de Lurigancho,100.2
2016,Noviembre,San Martin de Porres,31.5
2016,Noviembre,Carabayllo,NA
2016,Noviembre,Puente Piedra,137.1
2016,Octubre,Ate,101.8
2016,Octubre,San Borja,68.4
2016,Octubre,Jesus Maria (Campo de Marte),32.6
2016,Octubre,Santa Anita,73.6
2016,Octubre,Villa Maria del Triunfo,88.9
2016,Octubre,Huachipa,NA
2016,Octubre,San Juan de Lurigancho,NA
2016,Octubre,San Martin de Porres,37.6
2016,Octubre,Carabayllo,NA
2016,Octubre,Puente Piedra,121.9
2016,Setiembre,Ate,111.4
2016,Setiembre,San Borja,54.7
2016,Setiembre,Jesus Maria (Campo de Marte),32.6
2016,Setiembre,Santa Anita,NA
2016,Setiembre,Villa Maria del Triunfo,90.2
2016,Setiembre,Huachipa,NA
2016,Setiembre,San Juan de Lurigancho,NA
2016,Setiembre,San Martin de Porres,42.5
2016,Setiembre,Carabayllo,NA
2016,Setiembre,Puente Piedra,115.7
2017,Abril,Ate,NA
2017,Abril,San Borja,NA
2017,Abril,Jesus Maria (Campo de Marte),31.9
